record_id,fundraiser_num,rep_commission_manual,old_misc,subtotal_without_misc,new_misc,needs_write
rec07jrV8FxzRXDPO,123,9052.5,,8497.5,555.00,True
rec0otqYSu1QH0Zyd,88,1717.66,,1536.02,181.64,True
rec1lF3HZutimJCOs,147,1421.15,,1421.15,,False
rec21NWw6TfXQyBEU,137,1876.75,,1813.25,63.50,True
rec2O8UFo48mS0ydA,89,656.68,,586.8,69.88,True
rec2dLZElNE5CVCf7,141,1715.97,,1612.71,103.26,True
rec4Ey58VVpyKNo4d,19,1677.56,,1360.42,317.14,True
rec4aHvxVjMMoupu6,151,630.5,,630.5,,False
rec4ob5bkVDs60jJP,68,933.87,,798.05,135.82,True
rec5d49QOztObdoXO,116,1834.45,,1725.05,109.40,True
rec5ggvbSOCLuS89U,142,0,,0,,False
rec64COb2IjHpJTdv,70,981.45,,1064.45,-83.00,True
rec71eLem35OwdaPC,143,1366.69,,1254.02,112.67,True
rec7jSZGzLrXyDSw1,25,944.35,,1006.35,-62.00,True
rec7ljx2ax4nXnPgd,124,2950.4,,2950.4,,False
rec85WOO3jmgYG2TI,77,1029.29,,1091.84,-62.55,True
rec8PFBnIjgh2kZ9n,122,1730.38,-4170.67,5552.3,-3821.92,True
rec9RJHjPQekKth6S,93,424.85,,388.6,36.25,True
rec9VvNpOJM42ckr3,56,1798.6,-151,1949.6,-151.00,False
rec9v6dJqzhpGoKVg,152,2454.65,,2284.7,169.95,True
rec9voBQx7cg4q4Gh,106,712.75,,636.5,76.25,True
recA0MqepD9AKoSkm,36,206.25,,78.75,127.50,True
recCD1KbJQQfLrVWK,31,151.75,,51.75,100.00,True
recCiApArw0hio3MG,84,3708.9,,3708.9,,False
recDWGhMiaij1nuVo,158,713.18,,750.68,-37.50,True
recEbX8LGwaUa45cB,172,1509.05,,1509.05,,False
recEvz9q85At5Mi1q,159,1217.32,,1254.82,-37.50,True
recFPyuaqDvPncb3A,153,2570.32,,2432.86,137.46,True
recG4lHy7V9PgcQuL,83,664.75,,723.75,-59.00,True
recGQdZgqQdQfLjlM,154,2262.9,,2262.9,,False
recGsIp3pcL0S7gKc,79,467.3,,498.3,-31.00,True
recH0lEGHOa4gnA0d,59,2071.9,,2071.9,,False
recHfauijKqalnDGq,163,2408.55,,2408.55,,False
recHtgDooWxyZkiXU,72,299.2,,277.45,21.75,True
recI81MLgO062nW56,157,514.55,,514.55,,False
recIj4rruOiyROPhM,144,1495.81,,1410.28,85.53,True
recKkwaF0NnWlmBDL,34,259.2,,123.5,135.70,True
recKzFieoNLMLqZBF,75,847.98,,886.56,-38.58,True
recLK4yQmPN8ihkzl,78,588.21,,656.29,-68.08,True
recMCpg2Qs7zGA892,109,851.5,-25,876.5,-25.00,False
recMDUiukFDoobzn7,80,1171.55,,1263.55,-92.00,True
recMQNVDZUhCo3NQ7,51,1454.25,,1454.25,,False
recMwADBhIl6uUAsm,118,2499.4,,2499.4,,False
recNFBVxf82XRrOfa,134,3283.35,,3283.35,,False
recO0sKq8X19FWJVB,117,1090.76,-167.29,1155.7,-64.94,True
recOMHLNafRvhwJot,73,1779.83,-4170.67,5611,-3831.17,True
recOWhCszVRaPvPyG,71,777.8,,722.8,55.00,True
recOZIcGUhgBVk4Ta,76,339.16,,357.72,-18.56,True
recP4sh2fUHD8qMcu,170,6566.25,,5625,941.25,True
recQ3rXW6Sm4veM4v,140,0,23.7,-29.6,,True
recQVSOKO3T0YiUcO,33,37.2,,-66.5,103.70,True
recQZ0gsyUe1100AM,149,350.41,-8.17,358.58,-8.17,False
recR11ZyZlLvUAE1E,54,2053.75,,2053.75,,False
recRGSWCB5Ie8HZn1,85,2464.81,,2464.81,,False
recRfYkKg8fwV8uE5,108,146.99,12.24,119.75,27.24,True
recSN5J7viiUYxTIi,67,2988.67,,2510.17,478.50,True
recSSVdkpgKctG5TN,87,447.93,,396.4,51.53,True
recTJGFuEBVCxDswv,60,4010.09,,3282,728.09,True
recUAypKQ8N2qoKGV,96,1300.86,,1300.86,,False
recUJhyh2i2nFBdi7,94,953.05,,844.47,108.58,True
recUlHmfviYlbTnnX,160,172.09,,209.59,-37.50,True
recXN2lTlcGOsj82N,104,3042.11,,2875.89,166.22,True
recXkECJQ6RyMB6yw,98,1226.55,,1150.9,75.65,True
recYHjUHe66AXqEnm,62,3322.15,,2973.4,348.75,True
recZN5tb5G0ntpcvE,95,422.38,,380.25,42.13,True
recZV98e99IlzlENI,125,601.92,,548.93,52.99,True
recbLmwwh1NFoWQZ2,29,4249.35,,4174.35,75.00,True
recbROJ7CwJ3yUqau,92,2307.57,,1786.65,520.92,True
recbUaLcyvUEmOZxd,169,4998,,4280,718.00,True
recbXHUKaT24gLv8s,130,3762.75,,3762.75,,False
reccNMYb2UHnnxO7Z,99,65.7,,-35.9,101.60,True
reccq1SWzNyXV33ae,164,2156.95,,2156.95,,False
receGjBz9E58odaWE,120,7.19,,7.19,,False
recewHYIkhhqq1yve,97,3386.25,,3386.25,,False
recf3AEiLpH9Eo2ss,55,2283.75,,2208.75,75.00,True
recfilOQLY1r8FMbI,22,3060,,3060.85,-0.85,True
recfrY73nV3auDfs6,23,125,,267.68,-142.68,True
recgEaKoq7HLOpIeW,26,3300,,3240,60.00,True
recgUjCAeOzNqxPLX,166,1353.29,-41.92,1395.21,-41.92,False
recgePcdJNeXOKh1h,35,12,,-90,102.00,True
recgeuueiW6dtBpqt,58,483.5,,483.5,,False
reci2i864ZKJHkbwG,171,849.94,,778,71.94,True
reciHSsTUI7VtLX8O,61,1394.85,-6580,7974.85,-6580.00,False
reciKCoXwVTN3jnzw,111,977.47,,977.47,,False
recj0z2bJDFViCrp4,145,902.2,,844.2,58.00,True
recjVW4RAFKSnK3TT,32,463.8,,399,64.80,True
recjY22iHFbT84RPN,129,623.95,,577.16,46.79,True
reck2I6y9WKQjVjI6,113,2031,,2031,,False
reclIB6Y7SzP7L8ct,174,2043.75,,2043.75,,False
reclYD7uzjNr8qzyT,128,2044.75,,1922.18,122.57,True
reclYPdNODfKs3j5v,90,988.83,-4170.67,4866.1,-3877.27,True
recmXFzNU7zqPvyNe,91,1036.8,,1036.8,,False
recmZovYAui7xc8FJ,27,484.7,,445.5,39.20,True
recmprTznYm6flO99,161,756.86,,794.36,-37.50,True
recn1uKfeN8HatW1S,102,805.7,,757,48.70,True
recnx22q5Wl8Bi1XV,115,1605.24,,1605.24,,False
reco3Npe5vDaIonoG,162,7020.84,,7020.84,,False
recolmsGs6l9YNupf,65,1791.75,,1891.75,-100.00,True
recqaQ7tEJoq5rrFG,52,809.1,,809.1,,False
recqgWdRJmG33ZDhs,81,796.95,,822.95,-26.00,True
recrGi9CGb3La6WjI,64,4587.5,,4491.5,96.00,True
recrXtH6tkgxwueKB,132,516.4,,516.4,,False
recrxCBshdNz0FDE3,74,574.3,,585.43,-11.13,True
rectDOG1MMKBCl7qd,82,44.65,4,48.65,-4.00,True
rectvUtjWF8yFiVGF,107,1037.52,,977.33,60.19,True
recvqK35wj7Srf2w4,126,856.75,,808.05,48.70,True
recwM0zVbvR79ppqs,101,3805.89,,3542.62,263.27,True
recwXpTd0YfM3oRyu,165,778.55,,711.2,67.35,True
recxRraarUIDbTzDE,156,861.23,,861.23,,False
recy3lNfekXXqu8ZK,131,2186.25,,2186.25,,False
recyoV5SjabRCtGzT,139,2831.15,,2669.85,161.30,True
recypC3zcKc4KXTFU,121,1398.45,,1313.12,85.33,True
